Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,symbol
2025-12-06,360.08,362.21,326.19,341.55,542773.996,2025-12-06 23:59:59.999,185721969.27943,630575,253150.248,86599807.36084,0,ZECUSDT
2025-12-07,341.52,353.8,331.39,342.78,462805.398,2025-12-07 23:59:59.999,158066378.61076,529086,236834.847,80949749.51141,0,ZECUSDT
2025-12-08,342.81,426.15,341.26,405.48,865784.151,2025-12-08 23:59:59.999,339281848.96926,928989,460212.844,180262347.95476,0,ZECUSDT
2025-12-09,405.31,449.99,390.4,433.02,758580.509,2025-12-09 23:59:59.999,320768597.77094,887016,397669.975,168215413.33306,0,ZECUSDT
2025-12-10,433.0,448.14,396.55,404.43,496256.292,2025-12-10 23:59:59.999,211425380.52099,671799,240131.564,102542542.97253,0,ZECUSDT
2025-12-11,404.45,469.98,390.28,450.89,740659.831,2025-12-11 23:59:59.999,320696973.5861,863184,383490.337,166435769.50217,0,ZECUSDT
2025-12-12,450.8,470.58,445.54,454.99,437154.774,2025-12-12 23:59:59.999,199903288.3099,453079,229329.384,104992982.76989,0,ZECUSDT
2025-12-13,454.96,476.76,422.41,443.1,577315.208,2025-12-13 23:59:59.999,257040753.13858,679430,267087.788,119012241.67861,0,ZECUSDT
2025-12-14,443.07,444.24,395.57,404.31,401073.716,2025-12-14 23:59:59.999,166746500.07927,474495,196073.409,81493397.97221,0,ZECUSDT
2025-12-15,404.16,418.49,386.45,413.57,572674.005,2025-12-15 23:59:59.999,233171128.76933,617897,304886.466,124205710.39663,0,ZECUSDT
2025-12-16,413.56,416.81,373.93,404.61,467339.655,2025-12-16 23:59:59.999,185236350.39404,546736,236510.188,93837567.19081,0,ZECUSDT
2025-12-17,404.58,411.51,371.25,376.62,377409.973,2025-12-17 23:59:59.999,148042333.46038,460884,181944.113,71500937.03384,0,ZECUSDT
2025-12-18,376.61,404.77,371.96,388.45,496268.607,2025-12-18 23:59:59.999,194821185.5628,520447,240931.54,94492595.3953,0,ZECUSDT
2025-12-19,388.45,457.79,384.53,444.02,392718.951,2025-12-19 23:59:59.999,166269846.31097,472351,214629.343,90844875.76835,0,ZECUSDT
2025-12-20,444.03,456.2,434.8,447.1,228674.588,2025-12-20 23:59:59.999,102255345.57428,248989,111281.64,49825648.28104,0,ZECUSDT
2025-12-21,447.09,451.64,428.5,441.32,231077.57,2025-12-21 23:59:59.999,101698408.21413,255403,117091.215,51514896.70876,0,ZECUSDT
2025-12-22,441.24,457.58,426.48,431.58,276001.276,2025-12-22 23:59:59.999,122333771.12852,292603,132360.836,58706004.57554,0,ZECUSDT
2025-12-23,431.58,438.71,410.36,417.41,236887.561,2025-12-23 23:59:59.999,99473000.89203,244012,115080.13,48388154.00925,0,ZECUSDT
2025-12-24,417.42,451.91,404.6,448.67,345793.188,2025-12-24 23:59:59.999,148349184.28908,321833,174405.106,74994349.76254,0,ZECUSDT
2025-12-25,448.66,455.69,434.65,438.08,242599.884,2025-12-25 23:59:59.999,107799012.47664,229773,118487.902,52648654.85741,0,ZECUSDT
2025-12-26,438.07,449.63,435.57,448.15,216960.485,2025-12-26 23:59:59.999,96241080.4783,224374,105793.002,46919660.75041,0,ZECUSDT
2025-12-27,448.14,528.17,444.52,516.1,508362.06,2025-12-27 23:59:59.999,252455415.78727,621297,261632.462,130018659.98525,0,ZECUSDT
